ID,PAPER NAME,AUTHORS NAME,PAPER LINK
109,Global Convergence of Gradient Descent for Asymmetric Low-Rank Matrix Factorization,"Tian Ye, Simon S. Du",/paper/2021/hash/0af854284f4ab0cfea8fcfd889cbb41a-Abstract.html
110,Adaptive Data Augmentation on Temporal Graphs,"Yiwei Wang, Yujun Cai, Yuxuan Liang, Henghui Ding, Changhu Wang, Siddharth Bhatia, Bryan Hooi",/paper/2021/hash/0b0b0994d12ad343511adfbfc364256e-Abstract.html
111,Regularized Frank-Wolfe for Dense CRFs: Generalizing Mean Field and Beyond,"Đ.Khuê Lê-Huu, Karteek Alahari",/paper/2021/hash/0b0d29e5d5c8a7a25dced6405bd022a9-Abstract.html
112,Terra: Imperative-Symbolic Co-Execution of Imperative Deep Learning Programs,"Taebum Kim, Eunji Jeong, Geon-Woo Kim, Yunmo Koo, Sehoon Kim, Gyeongin Yu, Byung-Gon Chun",/paper/2021/hash/0b32f1a9efe5edf3dd2f38b0c0052bfe-Abstract.html
113,Uniform Sampling over Episode Difficulty,"Sébastien Arnold, Guneet Dhillon, Avinash Ravichandran, Stefano Soatto",/paper/2021/hash/0b3f44d9054402de39441e165a4bdfe0-Abstract.html
114,Scalable Intervention Target Estimation in Linear Models,"Burak Varici, Karthikeyan Shanmugam, Prasanna Sattigeri, Ali Tajer",/paper/2021/hash/0b94ce08688c6389ce7b68c52ce3f8c7-Abstract.html
115,Play to Grade: Testing Coding Games as Classifying Markov Decision Process,"Allen Nie, Emma Brunskill, Chris Piech",/paper/2021/hash/0b9b6d6d154e98ce34b3f2e4ef76eae9-Abstract.html
116,Distributional Reinforcement Learning for Multi-Dimensional Reward Functions,"Pushi Zhang, Xiaoyu Chen, Li Zhao, Wei Xiong, Tao Qin, Tie-Yan Liu",/paper/2021/hash/0b9e57c46de934cee33b0e8d1839bfc2-Abstract.html
117,Differentiable Unsupervised Feature Selection based on a Gated Laplacian,"Ofir Lindenbaum, Uri Shaham, Erez Peterfreund, Jonathan Svirsky, Nicolas Casey, Yuval Kluger",/paper/2021/hash/0bc10d8a74dbafbf242e30433e83aa56-Abstract.html
118,Smooth Bilevel Programming for Sparse Regularization,"Clarice Poon, Gabriel Peyré",/paper/2021/hash/0bed45bd5774ffddc95ffe500024f628-Abstract.html
119,Grounding Representation Similarity Through Statistical Testing,"Frances Ding, Jean-Stanislas Denain, Jacob Steinhardt",/paper/2021/hash/0c0bf917c7942b5a08df71f9da626f97-Abstract.html
120,A Consciousness-Inspired Planning Agent for Model-Based Reinforcement Learning,"Mingde Zhao, Zhen Liu, Sitao Luan, Shuyuan Zhang, Doina Precup, Yoshua Bengio",/paper/2021/hash/0c215f194276000be6a6df6528067151-Abstract.html
121,Reward-Free Model-Based Reinforcement Learning with Linear Function Approximation,"Weitong ZHANG, Dongruo Zhou, Quanquan Gu",/paper/2021/hash/0cb929eae7a499e50248a3a78f7acfc7-Abstract.html
